Semester,date,day,pH,temp1cm,temp20cm,Inflow_DO,Out_DO,In_NH3,Out_NH3,Turbidity,Chlorophyll
Fall 2020,8/31/20,Monday,6,29,25,8.3,9.3,-0.1,-0.049,22,
Fall 2020,9/1/20,Tuesday,5.75,27,26,7.7,11.2,0.04,0.014,40.5,
Fall 2020,9/2/20,Wednesday,7,30,29,12.5,8.5,0.097,0.103,39,
Fall 2020,9/3/20,Thursday,6.5,32,31,11,9.4,0.024,0.009,35,
Fall 2020,9/4/20,Friday,6,31,31,13,,0.001,0.252,10,
Fall 2020,9/7/20,Monday,6,29,25,8.3,9.3,-0.1,-0.049,22,
Fall 2020,9/8/20,Tuesday,5.5,28,26.5,8.8,9.5,0.0002,1.5,70,
Fall 2020,9/9/20,Wednesday,7,30,29,12.5,8.5,0.097,0.103,39,
Fall 2020,9/10/20,Thursday,6,28,27,11.2,6,0.148,0.162,66,
Fall 2020,9/11/20,Friday,5.5,30,28,10.4,10.4,0.349,0.343,57,
Fall 2020,9/14/20,Monday,5.5,27,,11.5,10.4,0.052,0.022,,117.2
Fall 2020,9/15/20,Tuesday,5.8,26.17,26.5,10.7,8.9,0.048,0.011,,110.1
Fall 2020,9/16/20,Wednesday,,,,,,,,,106.6
Fall 2020,9/17/20,Thursday,5.5,24,24,8.1,6.8,0.11,0.066,,65.7
Fall 2020,9/18/20,Friday,5.5,24,23,8,8,0.005,0.327,,209.6
Fall 2020,9/21/20,Monday,5.5,27,,11.5,10.4,0.052,0.022,,206.6
Fall 2020,9/22/20,Tuesday,5.5,22.5,20.3,9.5,9.2,0.006,0.056,,48
Fall 2020,9/23/20,Wednesday,6,26,26,10,9.5,0.01,0.03,,357
Fall 2020,9/24/20,Thursday,5.5,19.5,19.5,8.3,7,0.05,0.071,,511.5
Fall 2020,9/25/20,Friday,5.5,20,19,11.9,9.8,0.028,0.042,,230.9
Spring 2021,2/15/21,Monday,,,,11.4,,0.04,0.033,58,
Spring 2021,2/16/21,Tuesday,6.5,7,7,,12.4,0.056,0.08,48,
Spring 2021,2/17/21,Wednesday,7,9,8,11,15.3,0.038,0.04,,
Spring 2021,2/19/21,Friday,8,7,6,7,9,0.047,0.035,26,
Spring 2021,2/25/21,Thursday,5,14,11,12.5,11.9,0.118,0.164,46.6,
Spring 2021,3/1/21,Monday,6,12,11,14.3,10.4,0.07,0.09,,
Spring 2021,3/2/21,Tuesday,6,11,12,9.6,10.9,,,71,
Spring 2021,3/3/21,Wednesday,5.5,11,12,9.5,8,0.074,0.16,89.3,
Spring 2021,3/4/21,Thursday,6,12,12,11.3,11.5,0.04,0.037,84,
Spring 2021,3/5/21,Friday,8,11,10,11,11.5,0.013,0.058,87,
Spring 2021,3/8/21,Monday,7,13,12,,,,,1.7,20.868
Spring 2021,3/9/21,Tuesday,,,,,,,,,5.18
Spring 2021,3/10/21,Wednesday,5,15,13,,,,,99,9.324
Spring 2021,3/11/21,Thursday,5,16,16,,,,,88,
Spring 2021,3/12/21,Friday,,,,,,,,,7.104
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
