"Year","ArtsSciences","Major","Count"
2023,2979,"Stats",38
2023,2979,"Math",30
2023,2979,"Applied_Math",19
2023,2979,"Data_Analytics",23
2022,2967,"Stats",48
2022,2967,"Math",26
2022,2967,"Applied_Math",27
2022,2967,"Data_Analytics",11
2021,2874,"Stats",53
2021,2874,"Math",21
2021,2874,"Applied_Math",34
2021,2874,"Data_Analytics",NA
2020,2888,"Stats",56
2020,2888,"Math",26
2020,2888,"Applied_Math",25
2020,2888,"Data_Analytics",NA
2019,2894,"Stats",57
2019,2894,"Math",33
2019,2894,"Applied_Math",23
2019,2894,"Data_Analytics",NA
2018,2848,"Stats",54
2018,2848,"Math",31
2018,2848,"Applied_Math",32
2018,2848,"Data_Analytics",NA
2017,2716,"Stats",56
2017,2716,"Math",32
2017,2716,"Applied_Math",37
2017,2716,"Data_Analytics",NA
2016,2610,"Stats",43
2016,2610,"Math",46
2016,2610,"Applied_Math",27
2016,2610,"Data_Analytics",NA
2015,2563,"Stats",47
2015,2563,"Math",39
2015,2563,"Applied_Math",18
2015,2563,"Data_Analytics",NA
2014,2639,"Stats",34
2014,2639,"Math",44
2014,2639,"Applied_Math",12
2014,2639,"Data_Analytics",NA
2013,2791,"Stats",32
2013,2791,"Math",56
2013,2791,"Applied_Math",9
2013,2791,"Data_Analytics",NA
2012,2783,"Stats",34
2012,2783,"Math",55
2012,2783,"Applied_Math",5
2012,2783,"Data_Analytics",NA
2011,2672,"Stats",24
2011,2672,"Math",63
2011,2672,"Applied_Math",4
2011,2672,"Data_Analytics",NA
2010,2472,"Stats",11
2010,2472,"Math",52
2010,2472,"Applied_Math",NA
2010,2472,"Data_Analytics",NA
2009,2198,"Stats",NA
2009,2198,"Math",75
2009,2198,"Applied_Math",NA
2009,2198,"Data_Analytics",NA
2008,2182,"Stats",NA
2008,2182,"Math",73
2008,2182,"Applied_Math",NA
2008,2182,"Data_Analytics",NA
2007,2105,"Stats",NA
2007,2105,"Math",54
2007,2105,"Applied_Math",NA
2007,2105,"Data_Analytics",NA
