District,School,Subject,2018%,2019%,2022%,2023%
Alamance-Burlington Schools,Alexander Wilson Elementary,Reading Grade 3-8,53.1,55.3,46.4,47.8
Alamance-Burlington Schools,Alexander Wilson Elementary,Math Grade 3-8,64.3,64.1,49.5,56.7
Alamance-Burlington Schools,Alexander Wilson Elementary,Science Grade 5&8,69.5,58.3,65.6,74.5
Alamance-Burlington Schools,Broadview Middle,Reading Grade 3-8,29.8,32,18.6,20.3
Alamance-Burlington Schools,Broadview Middle,Math Grade 3-8,17.9,22.6,15.7,13.3
Alamance-Burlington Schools,Broadview Middle,Science Grade 5&8,41.8,40.4,35.8,42.3
Alamance-Burlington Schools,Highland Elementary,Reading Grade 3-8,62.4,61.1,49.8,48.8
Alamance-Burlington Schools,Highland Elementary,Math Grade 3-8,67.8,69,53.3,51.7
Alamance-Burlington Schools,Highland Elementary,Science Grade 5&8,64.1,81.4,65.3,58.4
Alamance-Burlington Schools,E M Yoder Elementary,Reading Grade 3-8,55.6,60,54.1,57.7
Alamance-Burlington Schools,E M Yoder Elementary,Math Grade 3-8,65.7,66.5,56.9,67.3
Alamance-Burlington Schools,E M Yoder Elementary,Science Grade 5&8,74.5,92.9,60.6,72.4
Alamance-Burlington Schools,Eastern Alamance High,Biology,78,67.8,55.4,49.8
Alamance-Burlington Schools,Eastern Alamance High,English II,54.9,52.2,53,43.6
Alamance-Burlington Schools,Eastlawn Elementary,Reading Grade 3-8,32.6,31.3,22.6,24
Alamance-Burlington Schools,Eastlawn Elementary,Math Grade 3-8,39.4,38.9,26.2,23.5
Alamance-Burlington Schools,Eastlawn Elementary,Science Grade 5&8,34,40.3,31.8,29.2
Alamance-Burlington Schools,Edwin M Holt Elementary,Reading Grade 3-8,63.7,63.7,54.2,58.8
Alamance-Burlington Schools,Edwin M Holt Elementary,Math Grade 3-8,60.6,69.5,57,66.4
Alamance-Burlington Schools,Edwin M Holt Elementary,Science Grade 5&8,76.9,70,61.9,73.9
Alamance-Burlington Schools,Elon Elementary,Reading Grade 3-8,55,54.9,43.3,51.7
Alamance-Burlington Schools,Elon Elementary,Math Grade 3-8,52.2,56.8,46.3,53.7
Alamance-Burlington Schools,Elon Elementary,Science Grade 5&8,67.8,73.6,48.5,57.9
Alamance-Burlington Schools,Graham High,Biology,28.9,35.1,17.1,36.4
Alamance-Burlington Schools,Graham High,English II,34.2,28.9,46,49.2
Alamance-Burlington Schools,Graham Middle,Reading Grade 3-8,37.3,30.6,21.6,21.9
Alamance-Burlington Schools,Graham Middle,Math Grade 3-8,30.1,30.3,18.6,17.8
Alamance-Burlington Schools,Graham Middle,Science Grade 5&8,54.1,57.8,40.3,34.8
Alamance-Burlington Schools,Grove Park Elementary,Reading Grade 3-8,38.6,33.3,24.4,22.9
Alamance-Burlington Schools,Grove Park Elementary,Math Grade 3-8,36.4,35.8,25.4,24.8
Alamance-Burlington Schools,Grove Park Elementary,Science Grade 5&8,53,47,32.9,40.5
Alamance-Burlington Schools,Hawfields Middle,Reading Grade 3-8,61.2,59.6,47.4,55.3
Alamance-Burlington Schools,Hawfields Middle,Math Grade 3-8,64.4,75.9,65.8,68.3
Alamance-Burlington Schools,Hawfields Middle,Science Grade 5&8,86.4,86.3,81.7,87
