"District","School","Subject","Year","Proficiency"
"Alamance-Burlington Schools","Alexander Wilson Elementary","Reading Grade 3-8","2018%",53.1
"Alamance-Burlington Schools","Alexander Wilson Elementary","Reading Grade 3-8","2019%",55.3
"Alamance-Burlington Schools","Alexander Wilson Elementary","Reading Grade 3-8","2022%",46.4
"Alamance-Burlington Schools","Alexander Wilson Elementary","Reading Grade 3-8","2023%",47.8
"Alamance-Burlington Schools","Alexander Wilson Elementary","Math Grade 3-8","2018%",64.3
"Alamance-Burlington Schools","Alexander Wilson Elementary","Math Grade 3-8","2019%",64.1
"Alamance-Burlington Schools","Alexander Wilson Elementary","Math Grade 3-8","2022%",49.5
"Alamance-Burlington Schools","Alexander Wilson Elementary","Math Grade 3-8","2023%",56.7
"Alamance-Burlington Schools","Alexander Wilson Elementary","Science Grade 5&8","2018%",69.5
"Alamance-Burlington Schools","Alexander Wilson Elementary","Science Grade 5&8","2019%",58.3
"Alamance-Burlington Schools","Alexander Wilson Elementary","Science Grade 5&8","2022%",65.6
"Alamance-Burlington Schools","Alexander Wilson Elementary","Science Grade 5&8","2023%",74.5
"Alamance-Burlington Schools","Broadview Middle","Reading Grade 3-8","2018%",29.8
"Alamance-Burlington Schools","Broadview Middle","Reading Grade 3-8","2019%",32
"Alamance-Burlington Schools","Broadview Middle","Reading Grade 3-8","2022%",18.6
"Alamance-Burlington Schools","Broadview Middle","Reading Grade 3-8","2023%",20.3
"Alamance-Burlington Schools","Broadview Middle","Math Grade 3-8","2018%",17.9
"Alamance-Burlington Schools","Broadview Middle","Math Grade 3-8","2019%",22.6
"Alamance-Burlington Schools","Broadview Middle","Math Grade 3-8","2022%",15.7
"Alamance-Burlington Schools","Broadview Middle","Math Grade 3-8","2023%",13.3
"Alamance-Burlington Schools","Broadview Middle","Science Grade 5&8","2018%",41.8
"Alamance-Burlington Schools","Broadview Middle","Science Grade 5&8","2019%",40.4
"Alamance-Burlington Schools","Broadview Middle","Science Grade 5&8","2022%",35.8
"Alamance-Burlington Schools","Broadview Middle","Science Grade 5&8","2023%",42.3
"Alamance-Burlington Schools","Highland Elementary","Reading Grade 3-8","2018%",62.4
"Alamance-Burlington Schools","Highland Elementary","Reading Grade 3-8","2019%",61.1
"Alamance-Burlington Schools","Highland Elementary","Reading Grade 3-8","2022%",49.8
