"artist","song","first_app","first_year","last_app","last_year","weeks","highest_spot","lowest_spot","length_ms","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","spotify_track_popularity"
"Taylor Swift","...Ready For It?",2017-09-23,2017,2018-01-27,2018,19,4,96,208186,0.613,0.764,2,-6.509,1,0.136,0.0527,0,0.197,0.417,160.015,4,73
"Taylor Swift","'Tis The Damn Season",2020-12-26,2020,2021-01-02,2021,2,39,91,229840,0.575,0.434,5,-8.193,1,0.0312,0.735,6.59e-05,0.105,0.348,145.916,4,70
"Perry Como","(There's No Place Like) Home For The Holidays",2018-12-29,2018,2021-01-02,2021,7,22,47,171333,0.69,0.189,0,-12.797,1,0.0316,0.897,0,0.133,0.735,78.042,4,66
"Playboi Carti","@ MEH",2020-05-02,2020,2020-05-02,2020,1,35,35,166799,0.876,0.492,11,-8.11,0,0.153,0.0136,0.000283,0.0678,0.4,151.044,4,66
"Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie","***Flawless",2014-09-13,2014,2015-02-21,2015,20,41,100,234413,0.639,0.659,8,-7.273,1,0.215,0.241,8.33e-06,0.484,0.457,136.801,4,68
"Lil Dicky Featuring Fetty Wap & Rich Homie Quan","$ave Dat Money",2015-10-10,2015,2016-03-19,2016,19,71,100,290835,0.858,0.697,2,-5.361,1,0.23,0.114,0,0.224,0.364,98.012,4,71
"Lil Yachty","1 Night",2016-08-13,2016,2017-01-07,2017,20,49,94,243269,0.762,0.476,0,-12.686,1,0.114,0.366,0,0.103,0.375,130.007,4,72
"Luke Combs & Brooks & Dunn","1, 2 Many",2019-09-28,2019,2019-09-28,2019,1,97,97,180906,0.54,0.821,6,-3.789,1,0.0875,0.0397,0,0.423,0.685,148.791,4,73
"Drake","10 Bands",2015-02-28,2015,2015-05-23,2015,13,58,100,177733,0.835,0.756,7,-3.789,1,0.382,0.23,0,0.0801,0.87,173,4,66
"Metro Boomin Featuring 21 Savage","10 Freaky Girls",2018-11-17,2018,2018-12-08,2018,4,42,70,208293,0.81,0.353,6,-9.931,0,0.31,0.588,0,0.102,0.0727,88.031,4,79
"Mac Miller","100 Grandkids",2015-08-29,2015,2015-08-29,2015,1,100,100,278506,0.735,0.749,10,-3.766,0,0.0874,0.371,0,0.47,0.373,93.718,4,65
"The Game Featuring Drake","100",2015-08-22,2015,2015-11-14,2015,10,82,100,334360,0.801,0.521,4,-9.871,0,0.28,0.0136,0,0.179,0.412,108.025,4,62
"Trippie Redd Featuring Juice WRLD","1400 / 999 Freestyle",2018-11-24,2018,2018-12-08,2018,3,55,72,175954,0.825,0.572,6,-6.067,0,0.0864,0.0079,0,0.113,0.568,141.991,4,83
"Meek Mill","1942 Flows",2017-08-12,2017,2017-08-12,2017,1,83,83,282666,0.63,0.628,2,-4.016,1,0.327,0.0515,0,0.091,0.266,121.307,5,61
"G-Eazy Featuring Yo Gotti & YBN Nahmir","1942",2018-07-28,2018,2018-09-15,2018,8,70,96,213080,0.817,0.646,4,-5.12,0,0.249,0.0152,0,0.125,0.835,162.898,4,72
"J. Cole","1985 (Intro To The Fall Off)",2018-05-05,2018,2018-05-12,2018,2,20,79,190176,0.678,0.648,2,-5.892,1,0.445,0.147,0,0.182,0.635,94.336,4,70
"Prince","1999",1982-10-30,1982,2016-05-14,2016,30,12,97,379266,0.866,0.73,5,-8.201,1,0.0767,0.137,0,0.0843,0.625,118.523,4,68
"Justin Bieber","2 Much",2021-04-03,2021,2021-04-03,2021,1,68,68,152796,0.583,0.444,9,-8.601,1,0.0456,0.593,0,0.353,0.167,119.59,4,76
"Kevin Gates","2 Phones",2016-01-23,2016,2016-07-09,2016,25,17,93,240000,0.895,0.681,7,-5.267,0,0.358,0.157,0,0.189,0.554,121.918,4,71
"Lil Tjay","20/20",2020-01-18,2020,2020-01-18,2020,1,94,94,230448,0.886,0.336,4,-12.779,1,0.239,0.557,0,0.0933,0.536,100.044,4,69
"Polo G","21",2020-05-30,2020,2020-09-05,2020,8,62,100,163797,0.783,0.479,7,-10.646,1,0.541,0.149,0,0.101,0.533,176.027,4,83
"YNW Melly & 9lokknine","223's",2019-09-21,2019,2020-01-25,2020,19,34,98,176640,0.932,0.547,0,-7.787,0,0.333,0.0388,0,0.0924,0.695,94.998,4,87
"Bruno Mars","24K Magic",2016-10-29,2016,2017-08-05,2017,41,4,50,225983,0.818,0.803,1,-4.282,1,0.0797,0.034,0,0.153,0.632,106.97,4,79
"David Guetta Featuring Justin Bieber","2U",2017-07-01,2017,2017-09-09,2017,11,16,73,194906,0.542,0.654,8,-5.862,0,0.0537,0.23,0,0.241,0.563,144.971,4,67
"Gunna Featuring Young Thug","3 Headed Snake",2019-03-09,2019,2019-03-09,2019,1,74,74,241995,0.914,0.415,6,-10.708,1,0.464,0.0536,0,0.131,0.646,135.03,4,68
"Drake","30 For 30 Freestyle",2015-10-10,2015,2015-10-17,2015,2,88,92,253934,0.707,0.619,4,-9.143,0,0.409,0.671,0,0.123,0.317,88.955,4,56
"Future","31 Days",2018-07-21,2018,2018-07-28,2018,2,65,99,240682,0.875,0.644,1,-6.554,1,0.222,0.267,0,0.125,0.788,139.086,4,56
"Polo G","33",2020-05-30,2020,2020-05-30,2020,1,93,93,170057,0.732,0.462,5,-10.191,0,0.406,0.126,0,0.12,0.117,180.067,4,70
"Ariana Grande","34+35",2020-11-14,2020,2020-12-26,2020,7,8,35,173710,0.83,0.585,0,-6.476,1,0.094,0.237,0,0.248,0.485,109.978,4,88
"Ariana Grande Feat. Doja Cat & Megan Thee Stallion","34+35",2021-01-02,2021,2021-05-22,2021,21,2,40,182437,0.88,0.662,0,-5.766,1,0.304,0.205,0,0.227,0.726,109.988,4,78
"Zedd & Katy Perry","365",2019-03-02,2019,2019-03-02,2019,1,86,86,181899,0.745,0.693,2,-5.479,0,0.034,0.339,0,0.123,0.248,98.039,4,78
"Future","4 Da Gang",2017-11-11,2017,2017-11-11,2017,1,92,92,187748,0.705,0.474,2,-7.534,1,0.355,0.0751,0,0.229,0.179,146.244,4,55
"J. Cole","4 Your Eyez Only",2016-12-31,2016,2016-12-31,2016,1,29,29,530253,0.704,0.481,11,-10.493,0,0.363,0.378,7.09e-05,0.0874,0.494,78.628,4,66
