"artist","song","first_app","first_year","last_app","last_year","weeks","highest_spot","lowest_spot","length_ms","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","spotify_track_popularity"
"Cody Johnson","On My Way To You",2019-02-02,2019,2019-06-22,2019,16,78,100,213306,0.443,0.538,1,-5.477,1,0.0309,0.327,0.0000461,0.0866,0.245,157.97,4,69
"Lee Brice","Rumor",2019-03-23,2019,2019-08-03,2019,20,25,90,198440,0.655,0.56,9,-6.857,1,0.0486,0.749,0,0.115,0.599,140.975,4,76
"Ariana Grande","No Tears Left To Cry",2018-05-05,2018,2018-11-03,2018,27,3,50,205920,0.699,0.713,9,-5.507,0,0.0594,0.04,0.00000311,0.294,0.354,121.993,4,84
"Marshmello Featuring Khalid","Silence",2017-09-02,2017,2018-01-27,2018,22,30,59,180822,0.52,0.761,4,-3.093,1,0.0853,0.256,0.00000496,0.17,0.286,141.971,4,82
"benny blanco & Juice WRLD Featuring Brendon Urie","Roses",2019-01-12,2019,2019-02-16,2019,6,85,97,223542,0.613,0.6,8,-7.097,1,0.154,0.166,0,0.117,0.532,147.059,4,79
"Dua Lipa","Blow Your Mind (Mwah)",2016-11-05,2016,2016-11-05,2016,1,72,72,178583,0.654,0.796,2,-4.761,0,0.122,0.0188,0,0.0948,0.491,108.854,4,71
"Offset Featuring Travis Scott & 21 Savage","Legacy",2019-03-09,2019,2019-03-09,2019,1,49,49,244941,0.844,0.513,1,-8.769,1,0.335,0.178,0,0.0845,0.344,128.085,4,73
"Adele","Remedy",2015-12-12,2015,2015-12-12,2015,1,87,87,245426,0.396,0.305,2,-6.481,1,0.0387,0.891,0,0.169,0.251,165.398,3,64
"Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign","Swalla",2017-04-08,2017,2017-08-19,2017,20,29,98,216408,0.696,0.817,1,-3.862,1,0.109,0.075,0,0.187,0.782,98.064,4,78
"Kane Brown Featuring Lauren Alaina","What Ifs",2017-07-01,2017,2017-12-02,2017,23,26,93,188253,0.612,0.799,10,-4.603,1,0.0275,0.00898,0,0.172,0.687,125.976,4,77
"Dylan Scott","Hooked",2018-07-28,2018,2018-10-06,2018,11,48,85,149293,0.597,0.721,9,-6.422,1,0.0356,0.0362,0,0.0832,0.437,132.054,4,67
"Amine","Caroline",2016-09-24,2016,2017-04-01,2017,28,11,96,209640,0.941,0.335,5,-10.179,0,0.505,0.17,0,0.262,0.707,120.041,4,78
"NAV Featuring Meek Mill","Tap",2019-04-06,2019,2019-08-24,2019,10,87,99,148278,0.901,0.676,2,-7.033,1,0.251,0.0646,0,0.0863,0.452,85.018,4,80
"Drake","Nothings Into Somethings",2017-04-08,2017,2017-04-15,2017,2,61,99,153724,0.76,0.227,11,-8.327,0,0.15,0.379,0.0017,0.355,0.279,96.912,4,61
"Brett Eldredge","Love Someone",2019-05-04,2019,2019-07-06,2019,10,52,93,211720,0.423,0.813,9,-5.011,1,0.0507,0.218,0.00000162,0.0732,0.421,173.995,4,69
"WALK THE MOON","Shut Up And Dance",2014-11-22,2014,2015-11-28,2015,53,4,98,199080,0.578,0.866,1,-3.804,1,0.0619,0.00701,0,0.257,0.619,128.038,4,82
"The Chainsmokers Featuring Rozes","Roses",2015-11-07,2015,2016-06-04,2016,31,6,95,226738,0.713,0.802,4,-7.055,1,0.0561,0.0435,0.00377,0.309,0.343,100.001,4,74
"Calboy","Envy Me",2018-12-29,2018,2019-06-29,2019,27,31,98,120133,0.74,0.488,1,-7.664,0,0.27,0.234,0,0.241,0.584,149.042,4,79
"Lil Uzi Vert","Silly Watch",2020-03-21,2020,2020-03-28,2020,2,9,52,195692,0.903,0.535,8,-6.238,1,0.286,0.0298,0,0.0851,0.157,130.117,4,66
"Drake","Behind Barz",2019-09-28,2019,2019-10-05,2019,2,75,83,163120,0.854,0.554,8,-4.684,1,0.172,0.769,0.00000184,0.0749,0.272,142.069,4,79
"Prince And The Revolution","Raspberry Beret",1985-05-18,1985,2016-05-14,2016,18,2,97,215173,0.761,0.67,2,-12.759,1,0.0438,0.21,0.000426,0.0685,0.91,120.752,4,69
