"Date","WinningNumbers"
"Saturday, 5/11/24",3
"Saturday, 5/11/24",6
"Saturday, 5/11/24",39
"Saturday, 5/11/24",49
"Saturday, 5/11/24",67
"Wednesday, 5/8/24",7
"Wednesday, 5/8/24",41
"Wednesday, 5/8/24",43
"Wednesday, 5/8/24",44
"Wednesday, 5/8/24",51
"Monday, 5/6/24",7
"Monday, 5/6/24",23
"Monday, 5/6/24",24
"Monday, 5/6/24",56
"Monday, 5/6/24",60
"Saturday, 5/4/24",14
"Saturday, 5/4/24",20
"Saturday, 5/4/24",23
"Saturday, 5/4/24",53
"Saturday, 5/4/24",69
"Wednesday, 5/1/24",1
"Wednesday, 5/1/24",11
"Wednesday, 5/1/24",19
"Wednesday, 5/1/24",21
"Wednesday, 5/1/24",68
"Monday, 4/29/24",11
"Monday, 4/29/24",38
"Monday, 4/29/24",47
"Monday, 4/29/24",67
"Monday, 4/29/24",69
"Saturday, 4/27/24",9
"Saturday, 4/27/24",30
"Saturday, 4/27/24",53
"Saturday, 4/27/24",55
"Saturday, 4/27/24",62
"Wednesday, 4/24/24",2
"Wednesday, 4/24/24",20
"Wednesday, 4/24/24",22
"Wednesday, 4/24/24",26
"Wednesday, 4/24/24",47
"Monday, 4/22/24",12
"Monday, 4/22/24",16
"Monday, 4/22/24",33
"Monday, 4/22/24",39
"Monday, 4/22/24",52
"Saturday, 4/20/24",4
"Saturday, 4/20/24",35
"Saturday, 4/20/24",41
"Saturday, 4/20/24",44
"Saturday, 4/20/24",58
"Wednesday, 4/17/24",24
"Wednesday, 4/17/24",29
"Wednesday, 4/17/24",44
"Wednesday, 4/17/24",47
"Wednesday, 4/17/24",54
"Monday, 4/15/24",7
"Monday, 4/15/24",16
"Monday, 4/15/24",41
"Monday, 4/15/24",56
"Monday, 4/15/24",61
"Saturday, 4/13/24",7
"Saturday, 4/13/24",33
"Saturday, 4/13/24",40
"Saturday, 4/13/24",43
"Saturday, 4/13/24",69
"Wednesday, 4/10/24",6
"Wednesday, 4/10/24",7
"Wednesday, 4/10/24",12
"Wednesday, 4/10/24",24
"Wednesday, 4/10/24",36
"Monday, 4/8/24",6
"Monday, 4/8/24",21
"Monday, 4/8/24",23
"Monday, 4/8/24",39
"Monday, 4/8/24",54
"Saturday, 4/6/24",22
"Saturday, 4/6/24",27
"Saturday, 4/6/24",44
"Saturday, 4/6/24",52
"Saturday, 4/6/24",69
"Wednesday, 4/3/24",11
"Wednesday, 4/3/24",38
"Wednesday, 4/3/24",41
"Wednesday, 4/3/24",62
"Wednesday, 4/3/24",65
"Monday, 4/1/24",19
"Monday, 4/1/24",24
"Monday, 4/1/24",40
"Monday, 4/1/24",42
"Monday, 4/1/24",56
"Saturday, 3/30/24",12
"Saturday, 3/30/24",13
"Saturday, 3/30/24",33
"Saturday, 3/30/24",50
"Saturday, 3/30/24",52
"Wednesday, 3/27/24",37
"Wednesday, 3/27/24",46
"Wednesday, 3/27/24",57
"Wednesday, 3/27/24",60
"Wednesday, 3/27/24",66
"Monday, 3/25/24",7
"Monday, 3/25/24",11
"Monday, 3/25/24",19
"Monday, 3/25/24",53
"Monday, 3/25/24",68
"Saturday, 3/23/24",6
"Saturday, 3/23/24",23
"Saturday, 3/23/24",25
"Saturday, 3/23/24",34
"Saturday, 3/23/24",51
"Wednesday, 3/20/24",13
"Wednesday, 3/20/24",22
"Wednesday, 3/20/24",27
"Wednesday, 3/20/24",54
"Wednesday, 3/20/24",66
"Monday, 3/18/24",10
"Monday, 3/18/24",17
"Monday, 3/18/24",20
"Monday, 3/18/24",39
"Monday, 3/18/24",44
"Saturday, 3/16/24",12
"Saturday, 3/16/24",23
"Saturday, 3/16/24",44
"Saturday, 3/16/24",57
"Saturday, 3/16/24",61
"Wednesday, 3/13/24",21
"Wednesday, 3/13/24",29
"Wednesday, 3/13/24",54
"Wednesday, 3/13/24",59
"Wednesday, 3/13/24",62
"Monday, 3/11/24",1
"Monday, 3/11/24",3
"Monday, 3/11/24",7
"Monday, 3/11/24",16
"Monday, 3/11/24",66
"Saturday, 3/9/24",30
"Saturday, 3/9/24",36
"Saturday, 3/9/24",49
"Saturday, 3/9/24",52
"Saturday, 3/9/24",63
"Wednesday, 3/6/24",6
"Wednesday, 3/6/24",19
"Wednesday, 3/6/24",28
"Wednesday, 3/6/24",44
"Wednesday, 3/6/24",60
"Monday, 3/4/24",36
"Monday, 3/4/24",42
"Monday, 3/4/24",50
"Monday, 3/4/24",52
"Monday, 3/4/24",67
"Saturday, 3/2/24",3
"Saturday, 3/2/24",18
"Saturday, 3/2/24",27
"Saturday, 3/2/24",36
"Saturday, 3/2/24",53
"Wednesday, 2/28/24",16
"Wednesday, 2/28/24",26
"Wednesday, 2/28/24",29
"Wednesday, 2/28/24",38
"Wednesday, 2/28/24",50
"Monday, 2/26/24",24
"Monday, 2/26/24",29
"Monday, 2/26/24",42
"Monday, 2/26/24",51
"Monday, 2/26/24",54
"Saturday, 2/24/24",3
"Saturday, 2/24/24",8
"Saturday, 2/24/24",40
"Saturday, 2/24/24",53
"Saturday, 2/24/24",58
"Wednesday, 2/21/24",4
"Wednesday, 2/21/24",27
"Wednesday, 2/21/24",33
"Wednesday, 2/21/24",41
"Wednesday, 2/21/24",42
"Monday, 2/19/24",4
"Monday, 2/19/24",23
"Monday, 2/19/24",45
"Monday, 2/19/24",50
"Monday, 2/19/24",53
"Saturday, 2/17/24",6
"Saturday, 2/17/24",28
"Saturday, 2/17/24",59
"Saturday, 2/17/24",62
"Saturday, 2/17/24",69
"Wednesday, 2/14/24",1
"Wednesday, 2/14/24",4
"Wednesday, 2/14/24",45
"Wednesday, 2/14/24",47
"Wednesday, 2/14/24",67
"Monday, 2/12/24",17
"Monday, 2/12/24",36
"Monday, 2/12/24",43
"Monday, 2/12/24",53
"Monday, 2/12/24",67
"Saturday, 2/10/24",27
"Saturday, 2/10/24",28
"Saturday, 2/10/24",34
"Saturday, 2/10/24",37
"Saturday, 2/10/24",44
"Wednesday, 2/7/24",12
"Wednesday, 2/7/24",21
"Wednesday, 2/7/24",62
"Wednesday, 2/7/24",67
"Wednesday, 2/7/24",69
"Monday, 2/5/24",1
"Monday, 2/5/24",2
"Monday, 2/5/24",27
"Monday, 2/5/24",30
"Monday, 2/5/24",67
"Saturday, 2/3/24",9
"Saturday, 2/3/24",11
"Saturday, 2/3/24",27
"Saturday, 2/3/24",59
"Saturday, 2/3/24",66
"Wednesday, 1/31/24",15
"Wednesday, 1/31/24",18
"Wednesday, 1/31/24",19
"Wednesday, 1/31/24",41
"Wednesday, 1/31/24",43
"Monday, 1/29/24",39
"Monday, 1/29/24",41
"Monday, 1/29/24",43
"Monday, 1/29/24",49
"Monday, 1/29/24",64
"Saturday, 1/27/24",7
"Saturday, 1/27/24",38
"Saturday, 1/27/24",65
"Saturday, 1/27/24",66
"Saturday, 1/27/24",68
"Wednesday, 1/24/24",1
"Wednesday, 1/24/24",5
"Wednesday, 1/24/24",32
"Wednesday, 1/24/24",50
"Wednesday, 1/24/24",64
"Monday, 1/22/24",24
"Monday, 1/22/24",25
"Monday, 1/22/24",43
"Monday, 1/22/24",52
"Monday, 1/22/24",63
"Saturday, 1/20/24",16
"Saturday, 1/20/24",31
"Saturday, 1/20/24",34
"Saturday, 1/20/24",47
"Saturday, 1/20/24",65
"Wednesday, 1/17/24",18
"Wednesday, 1/17/24",22
"Wednesday, 1/17/24",43
"Wednesday, 1/17/24",61
"Wednesday, 1/17/24",65
"Monday, 1/15/24",13
"Monday, 1/15/24",30
"Monday, 1/15/24",35
"Monday, 1/15/24",49
"Monday, 1/15/24",59
"Saturday, 1/13/24",13
