"STATES REPRESENTED","TOTAL","% TOTAL  ENROLLMENT"
"North Carolina",1824,25.3087276259192
"Massachusetts",661,9.17163868461218
"New Jersey",610,8.46399333980852
"New York",549,7.61759400582767
"Virginia",466,6.465935895657
"Maryland",380,5.27265158873318
"Pennsylvania",378,5.24490079089774
"Connecticut",356,4.93964201470792
"Florida",247,3.42722353267656
"Georgia",224,3.10808935756903
"Illinois",162,2.24781462467046
"South Carolina",144,1.99805744415152
"Texas",120,1.66504787012627
"Ohio",112,1.55404467878452
"California",103,1.42916608852505
"Tennessee",75,1.04065491882892
"New Hampshire",67,0.929651727487165
"Colorado",64,0.888025530734009
"Rhode Island",41,0.568891355626474
"Delaware",40,0.555015956708755
"Michigan",40,0.555015956708755
"Maine",33,0.457888164284723
"Missouri",30,0.416261967531567
"Vermont",28,0.388511169696129
"Minnesota",27,0.37463577077841
"Indiana",25,0.346884972942972
"West Virginia",22,0.305258776189815
"Alabama",17,0.235881781601221
"Wisconsin",16,0.222006382683502
"District Of Columbia",15,0.208130983765783
"Kentucky",15,0.208130983765783
"Kansas",13,0.180380185930345
"Louisiana",13,0.180380185930345
"Washington",13,0.180380185930345
"Mississippi",10,0.138753989177189
"Arizona",9,0.12487859025947
"Nevada",7,0.0971277924240322
"Idaho",6,0.0832523935063133
"Oregon",6,0.0832523935063133
"Arkansas",5,0.0693769945885944
"Utah",5,0.0693769945885944
"Oklahoma",3,0.0416261967531567
"Hawaii",2,0.0277507978354378
"Montana",2,0.0277507978354378
"Puerto Rico",2,0.0277507978354378
"Alaska",1,0.0138753989177189
"Iowa",1,0.0138753989177189
"Nebraska",1,0.0138753989177189
"New Mexico",1,0.0138753989177189
"Virgin Islands",1,0.0138753989177189
"Wyoming",1,0.0138753989177189
"Other",40,0.555015956708755
"Foreign Countries",174,2.41431941168309
"Total",7207,100
