"product_name","size","milk_type","with_whip","calories","total_fat_g","cholesterol_mg","sodium_mg","total_carbs_g","sugar_g","caffeine_mg"
"brewed coffee - dark roast","short","None","No",3,0.1,0,5,0,0,130
"brewed coffee - dark roast","tall","None","No",4,0.1,0,10,0,0,193
"brewed coffee - dark roast","grande","None","No",5,0.1,0,10,0,0,260
"brewed coffee - dark roast","venti","None","No",5,0.1,0,10,0,0,340
"brewed coffee - decaf pike place roast","short","None","No",3,0.1,0,5,0,0,15
"brewed coffee - decaf pike place roast","tall","None","No",4,0.1,0,10,0,0,20
"brewed coffee - decaf pike place roast","grande","None","No",5,0.1,0,10,0,0,25
"brewed coffee - decaf pike place roast","venti","None","No",5,0.1,0,10,0,0,30
"brewed coffee - medium roast","short","None","No",3,0.1,0,5,0,0,155
"brewed coffee - medium roast","tall","None","No",4,0.1,0,5,0,0,235
"brewed coffee - medium roast","grande","None","No",5,0.1,0,5,0,0,310
"brewed coffee - medium roast","venti","None","No",5,0.1,0,5,0,0,410
"brewed coffee - True North Blend Blonde roast","short","None","No",3,0.1,0,5,0,0,180
"brewed coffee - True North Blend Blonde roast","tall","None","No",4,0.1,0,5,0,0,270
"brewed coffee - True North Blend Blonde roast","grande","None","No",5,0.1,0,5,0,0,360
"brewed coffee - True North Blend Blonde roast","venti","None","No",5,0.1,0,5,0,0,475
"Caffè Misto","short","Nonfat","No",35,0.1,0,45,5,5,75
"Caffè Misto","short","2%","No",50,2,10,50,5,5,75
"Caffè Misto","short","Whole","No",70,3.5,10,50,5,5,75
"Caffè Misto","short","Soy","No",40,1.5,0,40,3,2,75
"Caffè Misto","short","Coconut","No",40,2.5,0,45,4,3,75
"Caffè Misto","tall","Nonfat","No",60,0.2,5,70,8,8,115
"Caffè Misto","tall","2%","No",80,3,15,80,8,8,115
"Caffè Misto","tall","Whole","No",100,5,15,70,8,8,115
"Caffè Misto","tall","Soy","No",60,2.5,0,60,5,4,115
"Caffè Misto","tall","Coconut","No",60,3.5,0,70,6,5,115
"Caffè Misto","grande","Nonfat","No",70,0.2,5,90,10,10,150
"Caffè Misto","grande","2%","No",110,4,15,100,10,10,150
